FAMILY	GENUS	SPECIES	CAAB CODE
Balistidae	Abalistes	spp	37465904
Balistidae	Abalistes	filamentosus	37465089
Balistidae	Abalistes	stellatus	37465011
Tetrarogidae	Ablabys	spp	37287905
Tetrarogidae	Ablabys	taenianotus	37287031
Belonidae	Ablennes	spp	37235901
Belonidae	Ablennes	hians	37235001
Pomacentridae	Abudefduf	spp	37372901
Pomacentridae	Abudefduf	bengalensis	37372003
Pomacentridae	Abudefduf	notatus	37372145
Pomacentridae	Abudefduf	septemfasciatus	37372010
Pomacentridae	Abudefduf	sexfasciatus	37372011
Pomacentridae	Abudefduf	sordidus	37372012
Pomacentridae	Abudefduf	vaigiensis	37372013
Pomacentridae	Abudefduf	whitleyi	37372014
Hydrophiidae	Acalyptophis	spp	1
Monacanthidae	Acanthaluteres	spp	37465905
Monacanthidae	Acanthaluteres	brownii	37465001
Monacanthidae	Acanthaluteres	spilomelanurus	37465043
Monacanthidae	Acanthaluteres	vittiger	37465002
Percophidae	Acanthaphritis	spp	37393901
Percophidae	Acanthaphritis	barbata	37393010
Percophidae	Acanthaphritis	ozawai	37393007
Serranidae	Acanthistius	spp	37311912
Serranidae	Acanthistius	cinctus	37311131
Serranidae	Acanthistius	ocellatus	37311090
Serranidae	Acanthistius	pardalotus	37311132
Serranidae	Acanthistius	paxtoni	37311133
Serranidae	Acanthistius	serratus	37311035
Cepolidae	Acanthocepola	spp	37380901
Cepolidae	Acanthocepola	abbreviata	37380002
Cepolidae	Acanthocepola	krusensternii	37380003
Cepolidae	Acanthocepola	limbata	37380004
Pomacentridae	Acanthochromis	spp	37372902
Pomacentridae	Acanthochromis	polyacanthus	37372015
Scombridae	Acanthocybium	spp	37441913
Scombridae	Acanthocybium	solandri	37441024
Bathydraconidae	Acanthodraco	spp	37406901
Bathydraconidae	Acanthodraco	dewitti	37406750
Gobiidae	Acanthogobius	spp	37428901
Gobiidae	Acanthogobius	flavimanus	37428030
Sparidae	Acanthopagrus	spp	37353904
Sparidae	Acanthopagrus	australis	37353004
Sparidae	Acanthopagrus	butcheri	37353003
Sparidae	Acanthopagrus	morrisoni	37353012
Sparidae	Acanthopagrus	pacificus	37353011
Sparidae	Acanthopagrus	palmaris	37353014
Aploactinidae	Acanthosphex	spp	37290901
Aploactinidae	Acanthosphex	leurynnis	37290017
Ostraciidae	Acanthostracion	spp	37466901
Ostraciidae	Acanthostracion	bucephalus	37466024
Acanthuridae	Acanthurus	spp	37437901
Acanthuridae	Acanthurus	albipectoralis	37437004
Acanthuridae	Acanthurus	auranticavus	37437005
Acanthuridae	Acanthurus	bariene	37437006
Acanthuridae	Acanthurus	blochii	37437007
Acanthuridae	Acanthurus	dussumieri	37437008
Acanthuridae	Acanthurus	fowleri	37437044
Acanthuridae	Acanthurus	grammoptilus	37437002
Acanthuridae	Acanthurus	guttatus	37437009
Acanthuridae	Acanthurus	leucocheilus	37437053
Acanthuridae	Acanthurus	leucosternon	37437054
Acanthuridae	Acanthurus	lineatus	37437010
Acanthuridae	Acanthurus	maculiceps	37437041
Acanthuridae	Acanthurus	mata	37437011
Acanthuridae	Acanthurus	nigricans	37437012
Acanthuridae	Acanthurus	nigricauda	37437013
Acanthuridae	Acanthurus	nigrofuscus	37437014
Acanthuridae	Acanthurus	nigros	37437015
Acanthuridae	Acanthurus	olivaceus	37437016
Acanthuridae	Acanthurus	pyroferus	37437017
Acanthuridae	Acanthurus	tennentii	37437050
Acanthuridae	Acanthurus	thompsoni	37437018
Acanthuridae	Acanthurus	triostegus	37437019
Acanthuridae	Acanthurus	tristis	37437051
Acanthuridae	Acanthurus	xanthopterus	37437020
Bythitidae	Acarobythites	spp	37228902
Bythitidae	Acarobythites	larsonae	37228054
Gobiidae	Acentrogobius	spp	37428902
Gobiidae	Acentrogobius	caninus	37428019
Gobiidae	Acentrogobius	janthinopterus	37428031
Gobiidae	Acentrogobius	pflaumii	37428361
Gobiidae	Acentrogobius	viridipunctatus	37428021
Syngnathidae	Acentronura	spp	37282901
Syngnathidae	Acentronura	breviperula	37282035
Labridae	Achoerodus	spp	37384905
Labridae	Achoerodus	gouldii	37384002
Labridae	Achoerodus	viridis	37384043
Monacanthidae	Acreichthys	spp	37465906
Monacanthidae	Acreichthys	radiatus	37465044
Monacanthidae	Acreichthys	tomentosus	37465042
Acropomatidae	Acropoma	spp	37311913
Acropomatidae	Acropoma	japonicum	37311167
Agneziidae	Adagnesia	spp	35001901
Agneziidae	Adagnesia	charcoti	35001001
Agneziidae	Adagnesia	opaca	35001002
Agneziidae	Adagnesia	venusta	35001003
Aploactinidae	Adventor	spp	37290902
Aploactinidae	Adventor	elongatus	37290004
Centriscidae	Aeoliscus	spp	37280901
Centriscidae	Aeoliscus	strigatus	37280003
Soleidae	Aesopia	spp	37462901
Soleidae	Aesopia	cornuta	37462001
Pataecidae	Aetapcus	spp	37292901
Pataecidae	Aetapcus	maculatus	37292004
Serranidae	Aethaloperca	spp	37311914
Serranidae	Aethaloperca	rogaa	37311134
Nototheniidae	Aethotaxis	spp	37404901
Nototheniidae	Aethotaxis	mitopteryx	37404794
Aetobatidae	Aetobatus	ocellatus	37039003
Gobiidae	Afurcagobius	spp	37428903
Gobiidae	Afurcagobius	suppositus	37428143
Gobiidae	Afurcagobius	tamarensis	37428004
Agneziidae	Agnezia	spp	35001902
Agneziidae	Agnezia	glaciata	35001004
Regalecidae	Agrostichthys	spp	37272901
Regalecidae	Agrostichthys	parkeri	37272003
Microdesmidae	Aioliops	spp	37435901
Microdesmidae	Aioliops	novaeguineaensis	37435025
Microdesmidae	Aioliops	tetrophthalmus	37435002
Bathydraconidae	Akarotaxis	spp	37406902
Bathydraconidae	Akarotaxis	nudiceps	37406751
Gobiesocidae	Alabes	spp	37206901
Gobiesocidae	Alabes	bathys	37206036
Gobiesocidae	Alabes	brevis	37206007
Gobiesocidae	Alabes	dorsalis	37206008
Gobiesocidae	Alabes	elongata	37206031
Gobiesocidae	Alabes	gibbosa	37206032
Gobiesocidae	Alabes	hoesei	37206009
Gobiesocidae	Alabes	obtusirostris	37206033
Gobiesocidae	Alabes	occidentalis	37206034
Gobiesocidae	Alabes	parvula	37206010
Gobiesocidae	Alabes	scotti	37206035
Gobiesocidae	Alabes	springeri	37206037
Albulidae	Albula	spp	37055901
Albulidae	Albula	argentea	37055001
Albulidae	Albula	oligolepis	37055002
Mugilidae	Aldrichetta	spp	37381901
Mugilidae	Aldrichetta	forsteri	37381001
Halosauridae	Aldrovandia	spp	37081901
Halosauridae	Aldrovandia	affinis	37081004
Halosauridae	Aldrovandia	phalacra	37081005
Carangidae	Alectis	spp	37337909
Carangidae	Alectis	ciliaris	37337018
Carangidae	Alectis	indica	37337038
Carangidae	Alepes	spp	37337914
Carangidae	Alepes	apercna	37337010
Carangidae	Alepes	kleinii	37337036
Carangidae	Alepes	vari	37337067
Alepisauridae	Alepisaurus	spp	37128901
Alepisauridae	Alepisaurus	brevirostris	37128002
Alepisauridae	Alepisaurus	ferox	37128001
Alepocephalidae	Alepocephalus	spp	37114901
Alepocephalidae	Alepocephalus	australis	37114014
Alepocephalidae	Alepocephalus	bicolor	37114003
Alepocephalidae	Alepocephalus	longiceps	37114029
Alepocephalidae	Alepocephalus	longirostris	37114043
Alepocephalidae	Alepocephalus	owstoni	37114042
Alepocephalidae	Alepocephalus	productus	37114044
Alepocephalidae	Alepocephalus	triangularis	37114045
Antennariidae	Allenichthys	spp	37210901
Antennariidae	Allenichthys	glauerti	37210004
Ophichthidae	Allips	spp	37068901
Ophichthidae	Allips	concolor	37068045
Oreosomatidae	Allocyttus	spp	37266903
Oreosomatidae	Allocyttus	niger	37266005
Oreosomatidae	Allocyttus	verrucosus	37266004
Xenisthmidae	Allomicrodesmus	spp	37429901
Xenisthmidae	Allomicrodesmus	dorotheae	37429043
Diodontidae	Allomycterus	spp	37469901
Diodontidae	Allomycterus	pilatus	37469002
Scombridae	Allothunnus	spp	37441914
Scombridae	Allothunnus	fallai	37441021
Alopiidae	Alopias	spp	37012901
Alopiidae	Alopias	pelagicus	37012003
Alopiidae	Alopias	superciliosus	37012002
Alopiidae	Alopias	vulpinus	37012001
Oikopleuridae	Althoffia	spp	35203902
Oikopleuridae	Althoffia	tumida	35203002
Blenniidae	Alticus	spp	37408926
Blenniidae	Alticus	saliens	37408100
Monacanthidae	Aluterus	spp	37465907
Monacanthidae	Aluterus	monoceros	37465022
Monacanthidae	Aluterus	scriptus	37465045
Monacanthidae	Amanses	spp	37465908
Monacanthidae	Amanses	scopas	37465046
Nomeidae	Amarsipus	spp	37446901
Nomeidae	Amarsipus	carlsbergi	37446012
Cichlidae	Amatitlania	spp	37371906
Cichlidae	Amatitlania	nigrofasciata	37371003
Ambassidae	Ambassis	spp	37310901
Ambassidae	Ambassis	agassizii	37310009
Ambassidae	Ambassis	agrammus	37310008
Ambassidae	Ambassis	dussumieri	37310004
Ambassidae	Ambassis	elongatus	37310010
Ambassidae	Ambassis	interrupta	37310011
Ambassidae	Ambassis	jacksoniensis	37310012
Ambassidae	Ambassis	macleayi	37310013
Ambassidae	Ambassis	marianus	37310018
Ambassidae	Ambassis	miops	37310014
Ambassidae	Ambassis	nalua	37310005
Ambassidae	Ambassis	vachellii	37310002
Platycephalidae	Ambiserrula	spp	37296904
Platycephalidae	Ambiserrula	jugosa	37296041
Cirrhitidae	Amblycirrhitus	spp	37374901
Cirrhitidae	Amblycirrhitus	bimacula	37374002
Gobiidae	Amblyeleotris	spp	37428904
Gobiidae	Amblyeleotris	callopareia	37428032
Gobiidae	Amblyeleotris	diagonalis	37428033
Gobiidae	Amblyeleotris	fasciata	37428034
Gobiidae	Amblyeleotris	fontanesii	37428035
Gobiidae	Amblyeleotris	guttata	37428036
Gobiidae	Amblyeleotris	gymnocephala	37428037
Gobiidae	Amblyeleotris	macronema	37428038
Gobiidae	Amblyeleotris	ogasawarensis	37428039
Gobiidae	Amblyeleotris	periophthalma	37428040
Gobiidae	Amblyeleotris	randalli	37428041
Gobiidae	Amblyeleotris	rhyax	37428042
Gobiidae	Amblyeleotris	rubrimarginata	37428359
Gobiidae	Amblyeleotris	steinitzi	37428043
Gobiidae	Amblyeleotris	wheeleri	37428044
Clupeidae	Amblygaster	spp	37085907
Clupeidae	Amblygaster	leiogaster	37085020
Clupeidae	Amblygaster	sirm	37085006
Pomacentridae	Amblyglyphidodon	spp	37372903
Pomacentridae	Amblyglyphidodon	aureus	37372016
Pomacentridae	Amblyglyphidodon	batunai	37372141
Pomacentridae	Amblyglyphidodon	curacao	37372017
Pomacentridae	Amblyglyphidodon	leucogaster	37372018
Gobiidae	Amblygobius	spp	37428905
Gobiidae	Amblygobius	bynoensis	37428045
Gobiidae	Amblygobius	decussatus	37428046
Gobiidae	Amblygobius	nocturnus	37428047
Gobiidae	Amblygobius	phalaena	37428048
Gobiidae	Amblygobius	rainfordi	37428049
Gobiidae	Amblygobius	sphynx	37428050
Gobiidae	Amblyotrypauchen	spp	37428906
Gobiidae	Amblyotrypauchen	arctocephalus	37428051
Pomacentridae	Amblypomacentrus	spp	37372904
Pomacentridae	Amblypomacentrus	breviceps	37372019
Rajidae	Amblyraja	spp	37031901
Rajidae	Amblyraja	georgiana	37031753
Rajidae	Amblyraja	hyperborea	37031041
Psychrolutidae	Ambophthalmos	spp	37305903
Psychrolutidae	Ambophthalmos	magnicirrus	37305007
Ariidae	Amissidens	spp	37188902
Ariidae	Amissidens	hainesi	37188004
Ammodytidae	Ammodytoides	spp	37425901
Ammodytidae	Ammodytoides	vagus	37425003
Pleuronectidae	Ammotretis	spp	37461900
Pleuronectidae	Ammotretis	brevipinnis	37461016
Pleuronectidae	Ammotretis	elongatus	37461007
Pleuronectidae	Ammotretis	lituratus	37461004
Pleuronectidae	Ammotretis	macrolepis	37461012
Pleuronectidae	Ammotretis	rostratus	37461001
Terapontidae	Amniataba	spp	37321902
Terapontidae	Amniataba	caudavittata	37321007
Terapontidae	Amniataba	percoides	37321009
Gobiidae	Amoya	spp	37428907
Gobiidae	Amoya	gracilis	37428020
Gobiidae	Amoya	madraspatensis	37428052
Gobiidae	Amoya	moloanus	37428053
Gobiidae	Amoya	suluensis	37428054
Chaetodontidae	Amphichaetodon	spp	37365902
Chaetodontidae	Amphichaetodon	howensis	37365020
Cichlidae	Amphilophus	spp	37371907
Cichlidae	Amphilophus	citrinellus	37371008
Cichlidae	Amphilophus	labiatus	37371009
Pomacentridae	Amphiprion	spp	37372905
Pomacentridae	Amphiprion	akindynos	37372020
Pomacentridae	Amphiprion	chrysopterus	37372021
Pomacentridae	Amphiprion	clarkii	37372007
Pomacentridae	Amphiprion	latezonatus	37372022
Pomacentridae	Amphiprion	mccullochi	37372023
Pomacentridae	Amphiprion	melanopus	37372024
Pomacentridae	Amphiprion	ocellaris	37372025
Pomacentridae	Amphiprion	percula	37372026
Pomacentridae	Amphiprion	perideraion	37372027
Pomacentridae	Amphiprion	polymnus	37372138
Pomacentridae	Amphiprion	rubrocinctus	37372028
Pomacentridae	Amphiprion	sandaracinos	37372029
Pseudochromidae	Amsichthys	spp	37313901
Pseudochromidae	Amsichthys	knighti	37313021
Anabantidae	Anabas	spp	37450750
Anabantidae	Anabas	testudineus	37450001
Bythitidae	Anacanthobythites	spp	37228904
Bythitidae	Anacanthobythites	platycephalus	37228104
Bythitidae	Anacanthobythites	tasmaniensis	37228105
Monacanthidae	Anacanthus	spp	37465909
Monacanthidae	Anacanthus	barbatus	37465010
Pseudodistomidae	Anadistoma	spp	35021901
Pseudodistomidae	Anadistoma	attenuatum	35021001
Labridae	Anampses	spp	37384906
Labridae	Anampses	caeruleopunctatus	37384045
Labridae	Anampses	elegans	37384046
Labridae	Anampses	femininus	37384047
Labridae	Anampses	geographicus	37384048
Labridae	Anampses	lennardi	37384016
Labridae	Anampses	melanurus	37384180
Labridae	Anampses	meleagrides	37384049
Labridae	Anampses	neoguinaicus	37384050
Labridae	Anampses	twistii	37384051
Callionymidae	Anaora	spp	37427901
Callionymidae	Anaora	tentaculata	37427045
Muraenidae	Anarchias	spp	37060901
Muraenidae	Anarchias	allardicei	37060017
Muraenidae	Anarchias	cantonensis	37060018
Muraenidae	Anarchias	leucurus	37060019
Muraenidae	Anarchias	seychellensis	37060022
Blenniidae	Andamia	spp	37408927
Blenniidae	Andamia	reyi	37408101
Cichlidae	Andinoacara	spp	37371901
Cichlidae	Andinoacara	pulcher	37371006
Cichlidae	Andinoacara	rivulatus	37371010
Anguillidae	Anguilla	spp	37056901
Anguillidae	Anguilla	anguilla	37056750
Anguillidae	Anguilla	australis	37056001
Anguillidae	Anguilla	bicolor	37056003
Anguillidae	Anguilla	dieffenbachii	37056751
Anguillidae	Anguilla	japonica	37056752
Anguillidae	Anguilla	obscura	37056004
Anguillidae	Anguilla	reinhardtii	37056002
Plotosidae	Anodontiglanis	spp	37192901
Plotosidae	Anodontiglanis	dahli	37192016
Clupeidae	Anodontostoma	spp	37085908
Clupeidae	Anodontostoma	chacunda	37085015
Anomalopidae	Anomalops	spp	37260901
Anomalopidae	Anomalops	katoptron	37260001
Ostraciidae	Anoplocapros	spp	37466902
Ostraciidae	Anoplocapros	amygdaloides	37466015
Ostraciidae	Anoplocapros	inermis	37466002
Ostraciidae	Anoplocapros	lenticularis	37466010
Anoplogastridae	Anoplogaster	spp	37257901
Anoplogastridae	Anoplogaster	cornuta	37257001
Anotopteridae	Anotopterus	spp	37129901
Anotopteridae	Anotopterus	pharao	37129750
Anotopteridae	Anotopterus	vorax	37129001
Pristidae	Anoxypristis	spp	37025901
Pristidae	Anoxypristis	cuspidata	37025002
Antennariidae	Antennarius	spp	37210902
Antennariidae	Antennarius	analis	37210016
Antennariidae	Antennarius	coccineus	37210017
Antennariidae	Antennarius	commerson	37210018
Antennariidae	Antennarius	dorehensis	37210019
Antennariidae	Antennarius	hispidus	37210008
Antennariidae	Antennarius	maculatus	37210027
Antennariidae	Antennarius	nummifer	37210011
Antennariidae	Antennarius	pictus	37210020
Antennariidae	Antennarius	rosaceus	37210021
Antennariidae	Antennarius	striatus	37210009
Antennariidae	Antennatus	spp	37210903
Antennariidae	Antennatus	tuberosus	37210022
Serranidae	Anthias	spp	37311915
Caproidae	Antigonia	spp	37267901
Caproidae	Antigonia	capros	37267004
Caproidae	Antigonia	cf <i>rhomboidea</i>	37267800
Caproidae	Antigonia	malayana	37267003
Caproidae	Antigonia	rhomboidea	37267006
Caproidae	Antigonia	rubescens	37267001
Caproidae	Antigonia	rubicunda	37267007
Moridae	Antimora	spp	37224904
Moridae	Antimora	rostrata	37224008
Cottidae	Antipodocottus	spp	37300901
Cottidae	Antipodocottus	elegans	37300002
Cottidae	Antipodocottus	galatheae	37300001
Serranidae	Anyperodon	spp	37311916
Serranidae	Anyperodon	leucogrammicus	37311085
Trichiuridae	Aphanopus	spp	37440902
Trichiuridae	Aphanopus	beckeri	37440012
Trichiuridae	Aphanopus	capricornis	37440010
Trichiuridae	Aphanopus	mikhailini	37440013
Lutjanidae	Aphareus	spp	37346918
Lutjanidae	Aphareus	furca	37346036
Lutjanidae	Aphareus	rutilans	37346001
Bythitidae	Aphyonus	spp	37228905
Bythitidae	Aphyonus	gelatinosus	37228014
Apistidae	Apistops	spp	37287906
Apistidae	Apistops	caloundra	37287033
Apistidae	Apistus	spp	37287907
Apistidae	Apistus	carinatus	37287011
Polyclinidae	Aplidiopsis	spp	35019902
Polyclinidae	Aplidiopsis	confluata	35019001
Polyclinidae	Aplidiopsis	mammillata	35019002
Polyclinidae	Aplidiopsis	sabulosa	35019003
Polyclinidae	Aplidium	spp	35019903
Polyclinidae	Aplidium	abditum	35019105
Polyclinidae	Aplidium	acroporum	35019004
Polyclinidae	Aplidium	altarium	35019005
Polyclinidae	Aplidium	amorphatum	35019006
Polyclinidae	Aplidium	australiense	35019007
Polyclinidae	Aplidium	bacculum	35019008
Polyclinidae	Aplidium	balleniae	35019108
Polyclinidae	Aplidium	benhami	35019115
Polyclinidae	Aplidium	brevilarvacium	35019009
Polyclinidae	Aplidium	caelestis	35019010
Polyclinidae	Aplidium	caeruleum	35019089
Polyclinidae	Aplidium	clivosum	35019011
Polyclinidae	Aplidium	congregatum	35019012
Polyclinidae	Aplidium	coniferum	35019013
Polyclinidae	Aplidium	coronum	35019116
Polyclinidae	Aplidium	crateriferum	35019015
Polyclinidae	Aplidium	crustum	35019100
Polyclinidae	Aplidium	depressum	35019016
Polyclinidae	Aplidium	directum	35019017
Polyclinidae	Aplidium	distaplium	35019018
Polyclinidae	Aplidium	elatum	35019019
Polyclinidae	Aplidium	eudistomum	35019101
Polyclinidae	Aplidium	falklandicum	35019109
Polyclinidae	Aplidium	filiforme	35019020
Polyclinidae	Aplidium	fluorescum	35019021
Polyclinidae	Aplidium	formosum	35019106
Polyclinidae	Aplidium	gastrolineatum	35019022
Polyclinidae	Aplidium	gelasinum	35019023
Polyclinidae	Aplidium	geminatum	35019024
Polyclinidae	Aplidium	grisiatum	35019025
Polyclinidae	Aplidium	hyacinthum	35019095
Polyclinidae	Aplidium	incubatum	35019026
Polyclinidae	Aplidium	inflorescens	35019027
Polyclinidae	Aplidium	jacksoni	35019028
Polyclinidae	Aplidium	laticum	35019107
Polyclinidae	Aplidium	lenticulum	35019029
Polyclinidae	Aplidium	lodix	35019030
Polyclinidae	Aplidium	longithorax	35019031
Polyclinidae	Aplidium	loricatum	35019088
Polyclinidae	Aplidium	lunacratum	35019032
Polyclinidae	Aplidium	macrolobatum	35019033
Polyclinidae	Aplidium	magnilarvum	35019034
Polyclinidae	Aplidium	meridianum	35019090
Polyclinidae	Aplidium	minisculum	35019035
Polyclinidae	Aplidium	multilineatum	35019036
Polyclinidae	Aplidium	multiplicatum	35019014
Polyclinidae	Aplidium	opacum	35019037
Polyclinidae	Aplidium	ornatum	35019038
Polyclinidae	Aplidium	panis	35019097
Polyclinidae	Aplidium	paralineatum	35019039
Polyclinidae	Aplidium	parastigmaticum	35019040
Polyclinidae	Aplidium	parvum	35019041
Polyclinidae	Aplidium	petrosum	35019042
Polyclinidae	Aplidium	phortax	35019117
Polyclinidae	Aplidium	radiatum	35019091
Polyclinidae	Aplidium	ritteri	35019043
Polyclinidae	Aplidium	robustum	35019044
Polyclinidae	Aplidium	rosarium	35019045
Polyclinidae	Aplidium	rubricollum	35019046
Polyclinidae	Aplidium	siderum	35019110
Polyclinidae	Aplidium	solidum	35019047
Polyclinidae	Aplidium	tabascum	35019048
Polyclinidae	Aplidium	triggsense	35019049
Polyclinidae	Aplidium	tuberosum	35019096
Polyclinidae	Aplidium	uteute	35019050
Aploactinidae	Aploactis	spp	37290903
Aploactinidae	Aploactis	aspera	37290005
Aploactinidae	Aploactisoma	spp	37290904
Aploactinidae	Aploactisoma	milesii	37290001
Aplodactylidae	Aplodactylus	spp	37376901
Aplodactylidae	Aplodactylus	arctidens	37376001
Aplodactylidae	Aplodactylus	etheridgii	37376003
Aplodactylidae	Aplodactylus	lophodon	37376002
Aplodactylidae	Aplodactylus	westralis	37376004
Gobiidae	Apocryptodon	spp	37428908
Gobiidae	Apocryptodon	madurensis	37428055
Apogonidae	Apogon	spp	37327901
Apogonidae	Apogon	caudicinctus	37327165
Apogonidae	Apogon	crassiceps	37327051
Apogonidae	Apogon	doryssa	37327147
Apogonidae	Apogon	seminigracaudus	37327179
Apogonidae	Apogon	semiornatus	37327074
Apogonidae	Apogon	sp.	37327045
Apogonidae	Apogon	talboti	37327076
Apogonidae	Apogon	unicolor	37327153
Apogonidae	Apogonichthyoides	spp	37327902
Apogonidae	Apogonichthyoides	atripes	37327129
Apogonidae	Apogonichthyoides	brevicaudatus	37327005
Apogonidae	Apogonichthyoides	chrysurus	37327121
Apogonidae	Apogonichthyoides	melas	37327133
Apogonidae	Apogonichthyoides	miniatus	37327168
Apogonidae	Apogonichthyoides	opercularis	37327070
Apogonidae	Apogonichthyoides	timorensis	37327077
Apogonidae	Apogonichthyoides	umbratilis	37327166
Apogonidae	Apogonichthys	spp	37327903
Apogonidae	Apogonichthys	ocellatus	37327080
Apogonidae	Apogonichthys	perdix	37327081
Pomacanthidae	Apolemichthys	spp	37365903
Pomacanthidae	Apolemichthys	trimaculatus	37365016
Tripterygiidae	Apopterygion	spp	37415901
Tripterygiidae	Apopterygion	alta	37415007
Pseudogrammatidae	Aporops	spp	37314901
Pseudogrammatidae	Aporops	bilinearis	37314001
Lutjanidae	Aprion	spp	37346919
Lutjanidae	Aprion	virescens	37346027
Scyliorhinidae	Apristurus	spp	37015901
Scyliorhinidae	Apristurus	ampliceps	37015017
Scyliorhinidae	Apristurus	australis	37015020
Scyliorhinidae	Apristurus	bucephalus	37015019
Scyliorhinidae	Apristurus	longicephalus	37015021
Scyliorhinidae	Apristurus	melanoasper	37015016
Scyliorhinidae	Apristurus	pinguis	37015018
Scyliorhinidae	Apristurus	platyrhynchus	37015015
Scyliorhinidae	Apristurus	sinensis	37015014
Ophichthidae	Apterichtus	spp	37068902
Ophichthidae	Apterichtus	flavicaudus	37068050
Ophichthidae	Apterichtus	klazingai	37068046
Ophichthidae	Apterichtus	malabar	37068057
Ostraciidae	Aracana	spp	37466903
Ostraciidae	Aracana	aurita	37466003
Ostraciidae	Aracana	ornata	37466001
Apogonidae	Archamia	spp	37327904
Apogonidae	Archamia	bleekeri	37327157
Paralepididae	Arctozenus	spp	37126901
Paralepididae	Arctozenus	risso	37126005
Gobiidae	Arcygobius	spp	37428909
Gobiidae	Arcygobius	baliurus	37428384
Gobiidae	Arenigobius	spp	37428910
Gobiidae	Arenigobius	bifrenatus	37428008
Gobiidae	Arenigobius	frenatus	37428002
Gobiidae	Arenigobius	leftwichi	37428056
Argentinidae	Argentina	spp	37097901
Argentinidae	Argentina	australiae	37097001
Sternoptychidae	Argyripnus	spp	37107901
Sternoptychidae	Argyripnus	ephippiatus	37107012
Sternoptychidae	Argyripnus	iridescens	37107004
Sternoptychidae	Argyropelecus	spp	37107902
Sternoptychidae	Argyropelecus	aculeatus	37107001
Sternoptychidae	Argyropelecus	gigas	37107005
Sternoptychidae	Argyropelecus	hemigymnus	37107006
Sternoptychidae	Argyropelecus	sladeni	37107013
Sparidae	Argyrops	spp	37353905
Sparidae	Argyrops	spinifer	37353006
Sciaenidae	Argyrosomus	spp	37354904
Sciaenidae	Argyrosomus	japonicus	37354001
Ariommatidae	Ariomma	spp	37447900
Ariommatidae	Ariomma	indicum	37447007
Ariommatidae	Ariomma	luridum	37447003
Congridae	Ariosoma	spp	37067902
Congridae	Ariosoma	anago	37067006
Congridae	Ariosoma	anagoides	37067035
Congridae	Ariosoma	howensis	37067038
Congridae	Ariosoma	mauritianum	37067003
Congridae	Ariosoma	scheelei	37067014
Malacosteidae	Aristostomias	spp	37110901
Ariidae	Arius	spp	37188901
Bothidae	Arnoglossus	spp	37460902
Bothidae	Arnoglossus	andrewsi	37460027
Bothidae	Arnoglossus	armstrongi	37460028
Bothidae	Arnoglossus	bassensis	37460029
Bothidae	Arnoglossus	dalgleishi	37460084
Bothidae	Arnoglossus	elongatus	37460020
Bothidae	Arnoglossus	fisoni	37460043
Bothidae	Arnoglossus	japonicus	37460034
Bothidae	Arnoglossus	macrolophus	37460063
Bothidae	Arnoglossus	micrommatus	37460059
Bothidae	Arnoglossus	muelleri	37460030
Bothidae	Arnoglossus	nigrifrons	37460072
Bothidae	Arnoglossus	polyspilus	37460071
Bothidae	Arnoglossus	tenuis	37460044
Bothidae	Arnoglossus	waitei	37460045
Tetraodontidae	Arothron	spp	37467901
Tetraodontidae	Arothron	caeruleopunctatus	37467066
Tetraodontidae	Arothron	firmamentum	37467005
Tetraodontidae	Arothron	hispidus	37467033
Tetraodontidae	Arothron	immaculatus	37467034
Tetraodontidae	Arothron	manilensis	37467020
Tetraodontidae	Arothron	mappa	37467035
Tetraodontidae	Arothron	meleagris	37467064
Tetraodontidae	Arothron	nigropunctatus	37467027
Tetraodontidae	Arothron	reticularis	37467021
Tetraodontidae	Arothron	stellatus	37467014
Hemiramphidae	Arrhamphus	spp	37234901
Hemiramphidae	Arrhamphus	sclerolepis	37234006
Arripidae	Arripis	spp	37344901
Arripidae	Arripis	georgianus	37344001
Arripidae	Arripis	trutta	37344002
Arripidae	Arripis	truttaceus	37344004
Arripidae	Arripis	xylabion	37344005
Artedidraconidae	Artedidraco	spp	37405901
Artedidraconidae	Artedidraco	glareobarbatus	37405750
Artedidraconidae	Artedidraco	loennbergi	37405751
Artedidraconidae	Artedidraco	orianae	37405752
Artedidraconidae	Artedidraco	shackletoni	37405753
Artedidraconidae	Artedidraco	skottsbergi	37405754
Hexacrobylidae	Asajirus	spp	35030901
Hexacrobylidae	Asajirus	indicus	35030001
Ascidiidae	Ascidia	spp	35002901
Ascidiidae	Ascidia	archaia	35002001
Ascidiidae	Ascidia	capillata	35002002
Ascidiidae	Ascidia	challengeri	35002003
Ascidiidae	Ascidia	conifera	35002028
Ascidiidae	Ascidia	decepta	35002004
Ascidiidae	Ascidia	empheres	35002005
Ascidiidae	Ascidia	gemmata	35002006
Ascidiidae	Ascidia	glabra	35002007
Ascidiidae	Ascidia	kreagra	35002008
Ascidiidae	Ascidia	latesiphonica	35002009
Ascidiidae	Ascidia	liberata	35002010
Ascidiidae	Ascidia	meridionalis	35002027
Ascidiidae	Ascidia	munda	35002011
Ascidiidae	Ascidia	nerea	35002012
Ascidiidae	Ascidia	occidentalis	35002013
Ascidiidae	Ascidia	parasamea	35002014
Ascidiidae	Ascidia	prolata	35002016
Ascidiidae	Ascidia	saccula	35002026
Ascidiidae	Ascidia	scaevola	35002017
Ascidiidae	Ascidia	sydneiensis	35002018
Ascidiidae	Ascidia	thompsoni	35002019
Ascidiidae	Ascidiella	spp	35002902
Ascidiidae	Ascidiella	aspersa	35002020
